"currency_code","country","currency_name","name","gender","bill_count","profession","known_for_being_first","current_bill_value","prop_total_bills","first_appearance_year","death_year","comments","hover_text","has_portrait","id","scaled_bill_value"
"ARS","Argentina","Argentinian Peso","Eva Perón","F",1,"Activist","No",100,NA,2012,"1952","","","true","ARS_Evita",1
"ARS","Argentina","Argentinian Peso","Julio Argentino Roca","M",1,"Head of Gov't","No",100,NA,1988,"1914","","","true","ARS_Argentino",1
"ARS","Argentina","Argentinian Peso","Domingo Faustino Sarmiento","M",1,"Head of Gov't","No",50,NA,1999,"1888","","","true","ARS_Domingo",0.444444444444444
"ARS","Argentina","Argentinian Peso","Juan Manuel de Rosas","M",1,"Politician","No",20,NA,1992,"1877","","","true","ARS_Rosas",0.111111111111111
"ARS","Argentina","Argentinian Peso","Manuel Belgrano","M",1,"Founder","Yes",10,NA,1970,"1820","Came up with the first Argentine flag.","Designed first Argentine flag","true","ARS_Belgrano",0
"AUD","Australia","Australian Dollar","David Unaipon","M",0.5,"STEM","Yes",50,0.48,1995,"1967","Shares with another person. In 1927 when his book of Aboriginal legends, Hurgarrda was published, he became the first Australian Aboriginal writer to be published.","First Australian Aboriginal writer to be published","true","AUD_Unaipon",0.473684210526316
"AUD","Australia","Australian Dollar","Mary Gilmore","F",0.5,"Writer","Yes",10,0.08,1993,"1962","Shares with another person. She became the first person to be appointed Dame Commander of the British Empire for contributions to literature.","First person appointed Dame Commander of the British Empire for contributions to literature","true","AUD_Gilmore",0.0526315789473684
"AUD","Australia","Australian Dollar","Reverend John Flynn","M",0.5,"Religious figure","Yes",20,0.1,1994,"1951","Shares with another person. Founded Royal Flying Doctor Service, the world's first air ambulance.","Founded Royal Flying Doctor Service, the world's first air ambulance","true","AUD_Flynn",0.157894736842105
"AUD","Australia","Australian Dollar","Banjo Paterson","M",0.5,"Writer","No",10,0.08,1993,"1941","Shares with another person","","true","AUD_Banjo",0.0526315789473684
"AUD","Australia","Australian Dollar","Edith Cowan","F",0.5,"Politician","Yes",50,0.48,1995,"1932","Shares with another person. She is best known as the first Australian woman to serve as a member of parliament.","First Australian woman to serve as a member of Parliament","true","AUD_Edith",0.473684210526316
"AUD","Australia","Australian Dollar","Nellie Melba","F",0.5,"Musician","Yes",100,0.22,1996,"1931","Shares with another person. The first Australian to achieve international recognition as a classical musician.","First Australian to achieve international recognition as a classical musician.","true","AUD_Nellie",1
"AUD","Australia","Australian Dollar","Sir John Monash","M",0.5,"Military","No",100,0.22,1996,"1931","Shares with another person","","true","AUD_Monash",1
"AUD","Australia","Australian Dollar","Mary Reibey","F",0.5,"Other","No",20,0.1,1994,"1855","Shares with another person. businessperson","","true","AUD_Reibey",0.157894736842105
"AUD","Australia","Australian Dollar","Queen Elizabeth II","F",1,"Monarch","No",5,0.11,1961,"","","","true","AUD_Elizabeth",0
"BDT","Bangladesh","Taka","Bangabandhu Sheikh Mujibur Rahman","M",1,"Founder","Yes",20,NA,1972,"1975","Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh","First President of Bangladesh","true","BDT_Rahman",0.0180360721442886
"BDT","Bangladesh","Taka","Bangabandhu Sheikh Mujibur Rahman","M",1,"Founder","Yes",1000,NA,1972,"1975","Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh","First President of Bangladesh","true","BDT_Rahman",1
"BDT","Bangladesh","Taka","Bangabandhu Sheikh Mujibur Rahman","M",1,"Founder","Yes",500,NA,1972,"1975","Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh","First President of Bangladesh","true","BDT_Rahman",0.498997995991984
