"city","state","pop2020","pop2010","area2020"
"New York","New York",8804190,8175133,300.5
"Los Angeles","California",3898747,3792621,469.5
"Chicago","Illinois",2746388,2695598,227.7
"Houston","Texas",2304580,2100263,640.4
"Phoenix","Arizona",1608139,1445632,518
"Philadelphia","Pennsylvania",1603797,1526006,134.4
"San Antonio","Texas",1434625,1327407,498.8
"San Diego","California",1386932,1307402,325.9
"Dallas","Texas",1304379,1197816,339.6
"San Jose","California",1013240,945942,178.3
"Austin","Texas",961855,790390,319.9
"Jacksonville","Florida",949611,821784,747.3
"Fort Worth","Texas",918915,741206,342.9
"Columbus","Ohio",905748,787033,220
"Indianapolis","Indiana",887642,820445,361.6
"Charlotte","North Carolina",874579,731424,308.3
"San Francisco","California",873965,805235,46.9
"Seattle","Washington",737015,608660,83.8
"Denver","Colorado",715522,600158,153.1
"Washington","District of Columbia",689545,601723,61.1
"Nashville","Tennessee",689447,601222,475.8
"Oklahoma City","Oklahoma",681054,579999,606.2
"El Paso","Texas",678815,649121,258.4
"Boston","Massachusetts",675647,617594,48.3
"Portland","Oregon",652503,583776,133.5
"Las Vegas","Nevada",641903,583756,141.8
"Detroit","Michigan",639111,713777,138.7
"Memphis","Tennessee",633104,646889,297
"Louisville","Kentucky",633045,597337,263.5
"Baltimore","Maryland",585708,620961,80.9
"Milwaukee","Wisconsin",577222,594833,96.2
"Albuquerque","New Mexico",564559,545852,187.3
"Tucson","Arizona",542629,520116,241
"Fresno","California",542107,494665,115.2
"Sacramento","California",524943,466488,98.6
"Kansas City","Missouri",508090,459787,314.7
"Mesa","Arizona",504258,439041,138.7
"Atlanta","Georgia",498715,420003,135.3
"Omaha","Nebraska",486051,408958,133.2
"Colorado Springs","Colorado",478961,416427,195.4
"Raleigh","North Carolina",467665,403892,145.1
"Long Beach","California",466742,462257,50.7
"Virginia Beach","Virginia",459470,437994,244.7
"Miami","Florida",442241,399457,36
"Oakland","California",440646,390724,55.9
"Minneapolis","Minnesota",429954,382578,54
"Tulsa","Oklahoma",413066,391906,197.5
"Bakersfield","California",403455,347483,149.8
"Wichita","Kansas",397532,382368,162
"Arlington","Texas",394266,365438,95.9
"Aurora","Colorado",386261,325078,160.1
"Tampa","Florida",384959,335709,114
"New Orleans","Louisiana",383997,343829,169.5
"Cleveland","Ohio",372624,396815,77.7
"Honolulu","Hawaii",350964,337256,60.5
"Anaheim","California",346824,336265,50.3
"Lexington","Kentucky",322570,295803,283.6
"Stockton","California",320804,291707,62.2
"Corpus Christi","Texas",317863,305215,162.2
"Henderson","Nevada",317610,257729,106.2
"Riverside","California",314998,303871,81.2
"Newark","New Jersey",311549,277140,24.1
"Saint Paul","Minnesota",311527,285068,52
"Santa Ana","California",310227,324528,27.3
"Cincinnati","Ohio",309317,296943,77.8
"Irvine","California",307670,212375,65.6
"Orlando","Florida",307573,238300,110.6
"Pittsburgh","Pennsylvania",302971,305704,55.4
"St. Louis","Missouri",301578,319294,61.7
"Greensboro","North Carolina",299035,269666,129.6
"Jersey City","New Jersey",292449,247597,14.7
"Anchorage","Alaska",291247,291826,1706.8
"Lincoln","Nebraska",291082,258379,97.7
"Plano","Texas",285494,259841,71.7
"Durham","North Carolina",283506,228330,112.8
"Buffalo","New York",278349,261310,40.4
"Chandler","Arizona",275987,236123,65.3
"Chula Vista","California",275487,243916,49.6
"Toledo","Ohio",270871,287208,80.5
"Madison","Wisconsin",269840,233209,79.6
"Gilbert","Arizona",267918,208453,68.6
"Reno","Nevada",264165,225221,108.8
"Fort Wayne","Indiana",263886,253691,110.7
"North Las Vegas","Nevada",262527,216961,101.3
"St. Petersburg","Florida",258308,244769,61.8
"Lubbock","Texas",257141,229573,134.6
"Irving","Texas",256684,216290,67
"Laredo","Texas",255205,236091,106.5
"Winston–Salem","North Carolina",249545,229617,132.7
"Chesapeake","Virginia",249422,222209,338.5
