,University,LG_State,City,Benefit_Share,Endow_Shared_With,Num_Unis,Current_Uni_Ben_Yr,Prior_Uni_Ben_Yr,Uni_Ben_History,Uni_Type,Grant_Type,Yr_Uni_Founded,Yr_ST_Accept,Yr_Uni_Assign,Year_Uni_Open,Uni_Site_Purchase,Uni_Created,Bulk_Disposal,Disposal_Complete,Total_Acres_Exp,Total_Acres_Found,Sold_Acres_1914,Unsold_Acres_1914,Endow_Raised_1914,Value_Per_Acre_Unsold_1914,Value_Unsold_Acres_1914,Total_Value_1914,Per_Acre_Total_Value_1914,Inf_Value_1914_2020,Inf_Factor_Adjust_2020,Unsold_Acres_Value_1918,Unsold_Acres_1918,Per_Acre_Value_Unsold_1918,US_Paid,No_Indig_Cessions,No_Loc_States,Adjusted_Acreage,Adjusted_US_Paid,Adjusted_Endow_Raised_1914,Adjusted_Value_Unsold_Acres_1914,Adjusted_Total_Value_1914,Pay_Raise_Multiple,Adjusted_Inf_Value_Assign_Yr_2020,Adjusted_Inf_Value_1914_2020,Disposal_Notes
0,Auburn University,AL,Auburn,1.0,,1.0,Auburn University (1872 - Present),,Auburn University (1872 - Present),Public,Scrip,1856,1867,1872,1872,True,False,False,1871,"240,000","239,966",240000.0,0.0,216000.0,0.0,0.0,216000.0,0.9,5643000.0,0.046889952,0.0,0.0,,4476.47,71.0,15.0,"239,966.50",4476.47,216000.0,0.0,216000.0,48.25,4606531.0,5643000.0,"The scrip, which was sold in a block to G.F. Lewis in 1871, raised $216,000 in principal for the Agricultural and Mechanical College of Alabama (now Auburn University). By an act of the Alabama Legislature, the funds were invested in state bonds with a par value of $253,500, earning interest ""perpetually"" at 8%, yielding $20,280 in annual interest income. The funds were deposited in the State Treasury and the income remitted to the treasurer of the college."
1,University of Arkansas,AR,Fayetteville,1.0,,1.0,University of Arkansas (1871 - Present),,University of Arkansas (1871 - Present),Public,Scrip,1871,1864,1871,1872,True,True,True,1872,"149,920","149,849",149920.0,0.0,135000.0,0.0,0.0,135000.0,0.9,3526875.0,0.046889952,0.0,0.0,,966.29,51.0,11.0,"149,849.19",966.29,135000.0,0.0,135000.0,139.71,2879082.0,3526875.0,"The state accepted the grant in 1864, reaffirmed it in 1871, and assigned it to Arkansas Industrial University (now the University of Arkansas). It sold the scrip entirely to the Ohio Land Company, represented by G.F. Lewis, for $135,000 in 1872. The university used $11,000 to acquire a campus site, and $121,333.33 was invested in Washington County and town of Fayetteville bonds, with a par value of $130,000, earning 8% interest. The remaining $2,666.67 was used ""erroneously"" for current expenses."
2,University of Arizona,AZ,Tuscon,1.0,,1.0,University of Arizona (1910 - Present),,University of Arizona (1910 - Present),Public,Land,1885,1910,1910,1891,True,False,False,Not all sold yet,"150,000","143,684",0.0,150000.0,0.0,3.0,450000.0,450000.0,3.0,11756250.0,0.036363636,450000.0,150000.0,,354.39,6.0,1.0,"143,684.41",354.39,0.0,450000.0,450000.0,1269.77,12375000.0,11756250.0,"An Arizona state law fixed a minimum price of $3 for the lands. The lands were sold or leased over many years. As of 2019, not all acres have been sold."
3,University of California,CA,Berkeley,1.0,,1.0,University of California (1868 - Present),,University of California (1868 - Present),Public,Land,1868,1866,1868,1869,True,True,False,After 1963,"150,000","150,525",148598.0,1402.0,732233.14,5.64,7912.67,740145.81,4.93,19336309.2,0.054545455,11869.0,1402.0,8.465763195,0.0,34.0,1.0,"150,524.56",0.0,732233.14,7912.67,740145.81,incalcuable,13569340.0,19336309.0,"The land failed to initially sell at $5 per acre (the state's minimum price), so California obtained special permission from Congress (act of March 5, 1871) to select any land at the smallest subdivision of the public survey, effectively increasing the value of the grant. The land was mortgaged, with purchasers locating lands in the name of the University of California. The proceeds from the sales were invested in state bonds, real estate, ""and other sound securities."" By 1914, the principal was $732,233.14, with 1,402 acres unsold. As late as 1963, the university still had 280 acres, though they have since been sold."
4,Colorado State University,CO,Fort Collins,1.0,,1.0,Colorado State University (1879 - Present),,Colorado State University (1879 - Present),Public,Land,1870,1879,1879,1879,True,True,False,Not all sold yet,"90,000","89,321",55921.0,34079.0,185956.34,6.67,227193.33,413149.67,4.57,10793535.22,0.038277512,400000.0,40000.0,10.0,3653.77,6.0,1.0,"89,320.55",3653.77,185956.34,227193.33,413149.67,113.07,10793535.0,10793535.0,"The Colorado State Land Board located and disposed of lands by lease or sale. In 1915, the state Legislature placed the fund under the State Board of Agriculture and provided for investment at no less than 5% interest. By 1914, 55,807.05 acres had been sold, yielding $185,956.34 in endowment principal. The land was sold or leased over many years. As of 2019, not all acres have been sold."
5,University of Connecticut,CT,Storrs,1.0,,1.0,University of Connecticut (1893 - Present),Yale University (1863-1893),University of Connecticut (1893 - Present); Yale University (1863-1893),Public,Scrip,1881,1862,1893,1881,True,True,True,1863,"180,000","178,190",180000.0,0.0,135000.0,0.0,0.0,135000.0,0.75,3526875.0,0.034449761,0.0,0.0,,12764.51,33.0,12.0,"178,190.04",12764.51,135000.0,0.0,135000.0,10.58,3918750.0,3526875.0,"The grant was accepted by Connecticut in 1862, sold in a block in 1863 for 75 cents per acre ($135,000), and assigned to the Sheffield School at Yale. The state initially invested the proceeds in United States 10-40 bonds. In 1865, the endowment was switched to Connecticut State bonds bearing 6% interest. Yale received the interest semi-annually and applied it to scholarships for students from Connecticut. The state reassigned the fund to the Storrs Agricultural College (University of Connecticut) in 1893. Yale sued and won a payment of $154,604.45 from the state in 1896 ($135,000 plus interest since 1893), which was added to their endowment. In 1905, the state fixed the interest at 5%, or $6,750 per year."
6,University of Delaware,DE,Newark,1.0,,1.0,University of Delaware (1867 - Present),,University of Delaware (1867 - Present),Public,Scrip,1833,1867,1867,1869,True,False,True,1872,"89,920","90,425",89920.0,0.0,83000.0,0.0,0.0,83000.0,0.92,2168375.0,0.05645933,0.0,0.0,,2455.92,46.0,12.0,"90,425.35",2455.92,83000.0,0.0,83000.0,33.8,1470085.0,2168375.0,"The land was sold for $83,000 between 1869 and 1872, and invested in State of Delaware bonds bearing 6% interest, payable semi-annually. In 1877, the bonds were sold and invested in state certificates of permanent indebtedness bearing 6% interest. The universityís treasurer received the interest semi-annually and paid it out for salaries ""on the order of the prudential committee of five."""
7,University of Florida,FL,Gainesville,1.0,,1.0,University of Florida (1870 - Present),,University of Florida (1870 - Present),Public,Scrip,1884,1870,1870,1884,True,True,True,1873,"89,920","90,262",89920.0,0.0,80000.0,0.0,0.0,80000.0,0.89,2090000.0,0.049760766,0.0,0.0,,1816.3,41.0,9.0,"90,262.36",1816.3,80000.0,0.0,80000.0,44.05,1607692.0,2090000.0,"The land was sold in a block to G.F. Lewis for $80,000 in 1873. It was invested in Florida state bonds with a par value of $100,000 in 1874."
8,University of Georgia,GA,Athens,1.0,,1.0,University of Georgia (1866 - Present),,University of Georgia (1866 - Present),Public,Scrip,1785,1866,1866,1801,True,False,False,1872,"269,920","269,651",269920.0,0.0,242202.17,0.0,0.0,242202.17,0.9,6327531.69,0.061244019,0.0,0.0,,6786.55,70.0,15.0,"269,650.69",6786.55,242202.17,0.0,242202.17,35.69,3954707.0,6327532.0,"The land was sold in a block on long-term credits extending over 10 years for $243,000, ultimately bringing $242,202.17. The funds were initially invested in Georgia state bonds bearing 7% and 8% interest. The grant was assigned to the Georgia State College of Agriculture and Mechanical Arts, which was established at the University of Georgia in 1872. Between 1872 and 1907, the income was distributed among state colleges at Athens, Dahlonega, Milledgeville, Cuthbert, Thomasville and Hamilton. On July 21, 1907, a state act kept the income conferred on the state university, but ordered it split between the North Georgia Agricultural College at Dahlonega, now the University of North Georgia ($2,000), and the Georgia State College of Agricultural and Mechanical Arts, now Middle Georgia State University ($14,954.14). The total income of $16,954.14 was invested in 7% state certificates (due in 1932, when reported in 1914). Later reports of land-grant college statistics continue to list the recipient as the University of Georgia, Athens."
9,Iowa State University,IA,Ames,1.0,,1.0,Iowa State University (1862 - Present),,Iowa State University (1862 - Present),Public,Land,1858,1862,1862,1859,True,False,False,1869,"204,206","202,932",204206.36,0.0,686817.97,0.0,0.0,686817.97,3.36,17943119.47,0.038277512,0.0,0.0,,4867.47,6.0,1.0,"202,931.89",4867.47,686817.97,0.0,686817.97,141.1,17943119.0,17943119.0,"The lands were initially leased at 8% on an appraised value of $1.50 to $3.00 per acre for the Iowa State Agricultural College and Model Farm (now Iowa State University). The college had a financial agent who bought, sold, and leased the lands, and invested the income, which grew the funds to $686,817.97, producing an annual income of $35,191.86 by 1914. Except for a single parcel, the lands were all leased between 1865 and 1869 on 8-year to 10-year contracts. The state treasurer initially invested the funds in United States and State bonds ""or other good security."""
10,University of Idaho,ID,Moscow,1.0,,1.0,University of Idaho (1892 - Present),,University of Idaho (1892 - Present),Public,Land,1889,1890,1892,1892,True,True,False,Not all sold yet,"90,000","87,445",25802.0,64198.0,129615.82,5.02,322497.34,452113.16,5.02,11811456.35,0.034449761,0.0,0.0,,1214.39,5.0,1.0,"87,445.00",1214.39,129615.82,322497.34,452113.16,372.3,13123840.0,11811456.0,"The funds were placed under the management of the Idaho State Board of Land Commissioners, which controls all state lands, and prorates the income for its different funds. The lands were sold or leased over many years. By 1914, 64,198.38 acres were unsold. As of 2019, not all acres have been sold."
11,University of Illinois,IL,Urbana,1.0,,1.0,University of Illinois (1867 - Present),,University of Illinois (1867 - Present),Public,Scrip,1867,1867,1867,1868,True,True,False,1916,"480,000","477,710",479760.0,240.0,648442.91,1.35,324.0,648766.91,1.35,16949035.52,0.05645933,0.0,0.0,,15269.67,63.0,14.0,"477,709.93",15269.67,648442.91,324.0,648766.91,42.49,11490872.0,16949036.0,"Illinois turned over the scrip to the trustees of the Illinois Industrial University (now the University of Illinois), which located 25,440 acres in Nebraska and Minnesota and sold 454,560 acres for $319,494.01. The land was sold gradually and the proceeds were added to the capital fund, which was initially invested in Illinois state and county bonds bearing between 6% and 10% interest. The funds were misappropriated by the university treasurer, which led to a loss of principal. In 1897, the state Legislature restored the principal in the form of ""irreducible State debt"" earning 5% ""interest perpetually."" According to federal statistics, all the land was sold by 1916. (Possibly by 1915; 240 acres remained in 1914, and federal land-grant statistics on unsold acres for 1915 were not published.)"
12,Purdue University,IN,Lafayette,1.0,,1.0,Purdue University (1869 - Present),,Purdue University (1869 - Present),Public,Scrip,1869,1865,1869,1874,True,True,True,1867,"389,920","380,600",389920.0,0.0,212238.5,0.0,0.0,212238.5,0.54,5544730.81,0.051674641,0.0,0.0,,22473.89,28.0,11.0,"380,599.77",22473.89,212238.5,0.0,212238.5,9.44,4107208.0,5544731.0,"The state created a board, ""The Trustees of the Indiana Agricultural College,"" to acquire and dispose of the scrip. It sold its scrip entirely on April 13, 1867, for $212,238.50 and invested the proceeds in United States 5-20 bonds paying $214,681.25 for $200,000 worth of bonds, registered in the name of Purdue University. Accumulated interest was added to the endowment prior to the opening of the university in 1874, increasing the permanent fund to $340,000 in federal bonds costing $351,728.97. In 1881, the state authorized a 5% bond due in 1901, and in 1901, the bond was transferred into perpetual state debt paying 5%, or $17,000 a year, on $340,000."
13,Kansas State University,KS,Manhattan,1.0,,1.0,Kansas State University (1863 - Present),,Kansas State University (1863 - Present),Public,Land,1863,1863,1863,1863,True,True,False,1957,"90,000","87,290",82314.0,7686.0,491746.74,3.33,25620.0,517366.74,5.75,13516206.08,0.04784689,38430.0,7686.0,5.0,1163.09,2.0,1.0,"87,289.52",1163.09,491746.74,25620.0,517366.74,444.82,10812965.0,13516206.0,"The state of Kansas initially selected 82,315.52 acres, with the deficit of 7,686.48 made up by a congressional act in 1907. The land was rented or sold by the college. By 1914, the fund had increased to $491,746.74, with 7,686.48 acres unsold. The land was sold or leased over many years. According to federal statistics, all the land was sold by 1928."
14,University of Kentucky,KY,Lexington,0.87,Kentucky State University,2.0,University of Kentucky [87%]/Kentucky State University [13%] (1897 - Present),Transylvania University (1865-1878),University of Kentucky [87%]/Kentucky State University [13%] (1897 - Present); University of Kentucky (1878-1897); Transylvania University (1865-1878),Public,Scrip,1865,1863,1878,1880,True,True,True,1866,"329,920","323,130",329920.0,0.0,164960.0,0.0,0.0,164960.0,0.5,4309580.0,0.038277512,0.0,0.0,,16636.17,33.0,11.0,"281,123.41",14473.47,143515.2,0.0,143515.2,9.92,3749335.0,3749335.0,"The sinking fund commissioners of Kentucky sold the scrip in a block for $164,960 in 1866 and invested the proceeds in Kentucky State bonds bearing 6% interest. The state located the agricultural college at Harrodsburg, consolidated it with Transylvania University and moved it to Lexington. It was separated in 1878. In 1897, the state provided a perpetual state bond of $165,000, earning 6% interest, and ordered that $1,255.50 (13%) should go to the State Normal School for Colored Persons at Frankfort (now Kentucky State College) and $8,644.5 (87%) to the University of Kentucky."
15,Kentucky State University,KY,Frankfort,0.13,University of Kentucky,2.0,University of Kentucky [87%] (1878 -Present)/Kentucky State University [13%] (1897 - Present),Transylvania University (1865-1878),University of Kentucky [87%]/Kentucky State University [13%] (1897 - Present); University of Kentucky (1878-1897); Transylvania University (1865-1878),Public HBC,Scrip,1886,1863,1897,1887,True,True,True,1866,"329,920","323,130",329920.0,0.0,164960.0,0.0,0.0,164960.0,0.5,4309580.0,0.031578947,0.0,0.0,,16636.17,33.0,11.0,"42,006.95",2162.7,21444.8,0.0,21444.8,9.92,679085.0,560245.0,"The sinking fund commissioners of Kentucky sold the scrip in a block for $164,960 in 1866 and invested the proceeds in Kentucky State bonds bearing 6% interest. The state located the agricultural college at Harrodsburg, consolidated it with Transylvania University and moved it to Lexington. It was separated in 1878. In 1897, the state provided a perpetual state bond of $165,000, earning 6% interest, and ordered that $1,255.50 (13%) should go to the State Normal School for Colored Persons at Frankfort (now Kentucky State College) and $8,644.5 (87%) to the University of Kentucky."
