year,rank,city,med_park_size_data,med_park_size_points,park_pct_city_data,park_pct_city_points,pct_near_park_data,pct_near_park_points,spend_per_resident_data,spend_per_resident_points,basketball_data,basketball_points,dogpark_data,dogpark_points,playground_data,playground_points,rec_sr_data,rec_sr_points,restroom_data,restroom_points,splashground_data,splashground_points,amenities_points,total_points,total_pct,park_benches,state,pop2020,pop2010,area2020
2020,1,Minneapolis,5.7,26.0,15%,38.0,98%,98.0,$319,100.0,3.5,47.0,1.7,65.0,4.1,73.0,2.3,100.0,2.9,91.0,4.0,100.0,79.3,341.0,85.3,,Minnesota,429954.0,382578.0,54.0
2020,2,Washington,1.4,5.0,24%,50.0,98%,98.0,$307,100.0,6.3,100.0,2.0,81.0,1.9,21.0,2.2,100.0,2.6,80.0,4.1,100.0,80.3,333.0,83.3,,District of Columbia,689545.0,601723.0,61.1
2020,3,St. Paul,3.2,14.0,15%,39.0,99%,99.0,$219,100.0,7.7,100.0,1.3,49.0,4.0,72.0,1.7,100.0,3.2,100.0,1.3,47.0,78.0,330.0,82.5,,Minnesota,311527.0,285068.0,52.0
2020,4,Arlington,2.4,10.0,11%,28.0,99%,99.0,$301,100.0,7.9,100.0,3.5,100.0,4.4,80.0,1.1,76.0,3.1,97.0,2.2,81.0,89.0,326.0,81.5,,Virginia,,,
2020,5,Cincinnati,4.4,20.0,14%,36.0,82%,74.0,$190,100.0,8.7,100.0,1.6,63.0,4.9,94.0,1.5,100.0,3.2,98.0,4.5,100.0,92.5,323.0,80.6,,Ohio,309317.0,296943.0,77.8
2020,6,Portland,4.9,22.0,18%,47.0,90%,85.0,$250,100.0,3.4,45.0,5.8,100.0,2.1,28.0,0.6,38.0,6.1,100.0,2.1,79.0,65.0,319.0,79.8,,Oregon,652503.0,583776.0,133.5
2020,7,Irvine,6.1,28.0,27%,50.0,82%,73.0,$215,100.0,17.4,100.0,0.4,4.0,4.3,77.0,1.7,100.0,3.2,98.0,0.7,25.0,67.3,318.0,79.6,,California,307670.0,212375.0,65.6
2020,8,San Francisco,1.3,4.0,21%,50.0,100%,100.0,$399,100.0,4.2,61.0,4.1,100.0,2.9,46.0,0.8,52.0,2.4,75.0,1.0,36.0,61.7,316.0,78.9,,California,873965.0,805235.0,46.9
2020,9,Boston,1.4,4.0,17%,45.0,100%,100.0,$162,92.0,3.8,53.0,1.9,76.0,4.0,70.0,0.9,63.0,1.0,29.0,10.3,100.0,65.2,306.0,76.5,,Massachusetts,675647.0,617594.0,48.3
2020,10,Chicago,2.2,9.0,10%,24.0,98%,98.0,$179,100.0,4.7,70.0,1.0,35.0,3.6,61.0,1.8,100.0,2.4,73.0,8.8,100.0,73.2,304.0,76.0,,Illinois,2746388.0,2695598.0,227.7
